province,fire_cause,fire_type,response_type,protection_zone,fn_indicator,dist_to_fn_km,n_fn_20km,any_evacuation,log_fire_size_ha
NT,natural,unknown,monitor,monitor,False,96.77611521142192,0,False,-0.6704810478107414
NT,natural,unknown,monitor,monitor,False,112.77531615868712,0,False,0.3128636156868182
NT,natural,unknown,monitor,monitor,False,82.42627873863378,0,False,1.607042491229821
NT,natural,unknown,monitor,monitor,False,135.34958996135308,0,False,-0.6467437593541746
NT,natural,unknown,monitor,monitor,False,112.46968168834807,0,False,0.5209187235025174
NT,natural,unknown,monitor,monitor,False,90.92444180561408,0,False,-0.7174706053406666
NT,natural,unknown,monitor,monitor,False,139.54077768551647,0,False,-1.1976662145196273
NT,natural,unknown,monitor,monitor,False,155.02527453628986,0,False,0.0897654278039021
NT,natural,unknown,monitor,monitor,False,153.91273794987816,0,False,0.8345274160155607
NT,natural,unknown,monitor,monitor,False,93.37657991485622,0,False,0.9657497281958034
NT,natural,unknown,monitor,monitor,False,83.37966642367755,0,False,-0.5044003485651957
NT,natural,unknown,monitor,monitor,False,104.04270450911544,0,False,-0.5072776456401208
NT,natural,unknown,monitor,monitor,False,144.0175886101795,0,False,-0.3509343259477961
NT,natural,unknown,monitor,monitor,False,181.83745634910335,0,False,-1.1075408656381058
NT,natural,unknown,other,other,False,104.252135783082,0,False,0.0770025504432284
NT,natural,unknown,other,other,False,147.76870530286442,0,False,1.0809747295733816
NT,natural,unknown,other,other,False,150.2183804734042,0,False,0.0897654278039021
NT,natural,unknown,other,other,False,136.580902585757,0,False,0.4415328553460774
NT,natural,unknown,other,other,False,94.94994445772518,0,False,-0.5914941677559898
NT,natural,unknown,other,other,False,97.15259693180954,0,False,-1.3627700895731674
NT,natural,unknown,other,other,False,100.82937271695369,0,False,-0.5212905960091039
NT,natural,unknown,other,other,False,106.21609307442375,0,False,0.5585488861664726
NT,natural,unknown,other,other,False,118.49822004640424,0,False,0.5277180964590592
NT,natural,unknown,other,other,False,127.5057888952268,0,False,-1.3627700895731674
NT,natural,unknown,other,other,False,147.72193967823873,0,False,-0.5554181844288024
NT,natural,unknown,other,other,False,151.86872066638338,0,False,-0.7855089144719057
NT,natural,unknown,other,other,False,122.29812709534926,0,False,-0.3738050453595338
NT,natural,unknown,other,other,False,127.10779185797236,0,False,-1.3627700895731674
